impact,confidence,detector,finding
Low,Medium,reentrancy-benign,"Reentrancy in CurveHook._handleSell(PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#524-584):"
Low,Medium,reentrancy-events,"Reentrancy in CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#434-520):"
Low,Medium,reentrancy-events,Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#562-579):
Low,Medium,reentrancy-events,Reentrancy in RoundController.addFees(uint256) (src/RoundController.sol#285-288):
Low,Medium,reentrancy-events,Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#487-553):
Low,Medium,reentrancy-events,Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#182-193):
Low,Medium,reentrancy-events,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421):"
Low,Medium,reentrancy-events,"Reentrancy in CurveHook._handleSell(PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#524-584):"
Low,Medium,return-bomb,RoundController.detonate() (src/RoundController.sol#552-591) tries to limit the gas of an external call that controls implicit decoding
Low,Medium,timestamp,"PSPZapOut.sellToMix(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#95-120) uses timestamp for comparisons"
Low,Medium,timestamp,PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#504-521) uses timestamp for comparisons
Low,Medium,timestamp,"PSPStaker._unscheduleDecay(PSPStaker.Position,PSPStaker.GlobalPoint) (src/PSPStaker.sol#578-592) uses timestamp for comparisons"
Low,Medium,timestamp,PSPStaker._distribute() (src/PSPStaker.sol#689-708) uses timestamp for comparisons
Low,Medium,timestamp,CurveHook.getSellOutput(uint256) (src/CurveHook.sol#912-925) uses timestamp for comparisons
Low,Medium,timestamp,"PSPStaker.claimFeesTo(uint256,address) (src/PSPStaker.sol#603-609) uses timestamp for comparisons"
Low,Medium,timestamp,"CurveHook._beforeSwap(address,PoolKey,SwapParams,bytes) (src/CurveHook.sol#318-369) uses timestamp for comparisons"
Low,Medium,timestamp,RoundController.detonate() (src/RoundController.sol#552-591) uses timestamp for comparisons
Low,Medium,timestamp,"PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#265-273) uses timestamp for comparisons"
Low,Medium,timestamp,"PSPStaker._feeSlice(uint256,uint256,uint256) (src/PSPStaker.sol#360-366) uses timestamp for comparisons"
Low,Medium,timestamp,"CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#434-520) uses timestamp for comparisons"
Low,Medium,timestamp,PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#370-388) uses timestamp for comparisons
Low,Medium,timestamp,"PSPStaker.claimAllTo(uint256[],address) (src/PSPStaker.sol#612-622) uses timestamp for comparisons"
Low,Medium,timestamp,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256) (src/HookDeployer.sol#96-122) uses timestamp for comparisons"
Low,Medium,timestamp,RoundController.predepositState() (src/RoundController.sol#401-425) uses timestamp for comparisons
Low,Medium,timestamp,PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#749-752) uses timestamp for comparisons
Low,Medium,timestamp,RoundController._windowOver() (src/RoundController.sol#396-398) uses timestamp for comparisons
Low,Medium,timestamp,RoundController.launchPooledBuy() (src/RoundController.sol#432-486) uses timestamp for comparisons
Low,Medium,timestamp,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421) uses timestamp for comparisons"
Low,Medium,timestamp,"PSPZapIn._buyWithMix(PoolKey,uint256,uint256,uint256,address) (src/PSPZapIn.sol#131-151) uses timestamp for comparisons"
Low,Medium,timestamp,PSPStaker._creditBeforeEpoch(uint256) (src/PSPStaker.sol#349-358) uses timestamp for comparisons
Low,Medium,timestamp,"PSPZapIn.zapInBuy(PoolKey,uint256,uint256) (src/PSPZapIn.sol#78-101) uses timestamp for comparisons"
Low,Medium,timestamp,"PSPStaker._advance(PSPStaker.GlobalPoint,uint256) (src/PSPStaker.sol#295-308) uses timestamp for comparisons"
Low,Medium,timestamp,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) uses timestamp for comparisons"
Low,Medium,timestamp,PSPStaker.withdraw(uint256) (src/PSPStaker.sol#548-575) uses timestamp for comparisons
Low,Medium,timestamp,CurveHook.getBuyOutput(uint256) (src/CurveHook.sol#893-909) uses timestamp for comparisons
Informational,High,assembly,"HookMiner.find(address,uint160,bytes,bytes) (src/utils/HookMiner.sol#24-74) uses assembly"
Informational,High,assembly,"HookMiner.nextCandidateCapped(address,bytes32,uint160,bytes,bytes,uint256,uint256) (src/utils/HookMiner.sol#148-275) uses assembly"
