detector,severity,confidence,description
low-level-calls,Informational,High,"Low level call in SepoliaMixETH.redeemETH(uint256) (src/testnet/SepoliaMixETH.sol#50-56):
	- (ok,None) = msg.sender.call{value: ethOut}() (src/testnet/SepoliaMixETH.sol#54)"
low-level-calls,Informational,High,"Low level call in PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85):
	- (ok,None) = msg.sender.call{value: ethOut}() (src/PSPZapOut.sol#83)"
low-level-calls,Informational,High,"Low level call in RoundController._getTotalAssets() (src/RoundController.sol#261-270):
	- (success,data) = address(mixETH).staticcall(abi.encodeWithSelector(0x01e1d114)) (src/RoundController.sol#263-265)"
missing-inheritance,Informational,High,PSPZapIn (src/PSPZapIn.sol#21-205) should inherit from IPSPZapIn (src/interfaces/IPSPZapIn.sol#7-14)
missing-inheritance,Informational,High,PSPStaker (src/PSPStaker.sol#43-776) should inherit from IPepeDescriptor (src/PSPStaker.sol#13-15)
missing-inheritance,Informational,High,SepoliaMixETH (src/testnet/SepoliaMixETH.sol#23-65) should inherit from IMixETH (src/interfaces/IMixETH.sol#7-10)
missing-inheritance,Informational,High,PSPToken (src/PSPToken.sol#9-51) should inherit from IMintableMix (src/testnet/MixETHFaucet.sol#7-9)
missing-inheritance,Informational,High,SepoliaMixETH (src/testnet/SepoliaMixETH.sol#23-65) should inherit from IMintableMix (src/testnet/MixETHFaucet.sol#7-9)
missing-inheritance,Informational,High,HookInitCode (src/HookInitCode.sol#46-78) should inherit from IHookInitCode (src/HookInitCode.sol#36-44)
naming-convention,Informational,High,"Parameter CurveMath.curveIntegral(uint256,uint256,CurveMath.CurveConfig).S1 (src/libraries/CurveMath.sol#271) is not in mixedCase"
naming-convention,Informational,High,"Parameter SineMath.sellOut(SineMath.Curve,uint256,uint256).R (src/libraries/SineMath.sol#256) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._genesisPotFee (src/CurveHook.sol#843) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveMath.singleCurve(uint256,uint256,uint256,uint256).P0 (src/libraries/CurveMath.sol#412) is not in mixedCase"
naming-convention,Informational,High,Variable RoundController.VEST_DURATION (src/RoundController.sol#130) is not in mixedCase
naming-convention,Informational,High,"Parameter SineMath.buyOut(SineMath.Curve,uint256,uint256).R (src/libraries/SineMath.sol#247) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._initialSupply (src/CurveHook.sol#843) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveMath.curveIntegral(uint256,uint256,CurveMath.CurveConfig).S2 (src/libraries/CurveMath.sol#271) is not in mixedCase"
naming-convention,Informational,High,Variable RoundController.PREDEPOSIT_CAP_PER_WALLET (src/RoundController.sol#123) is not in mixedCase
naming-convention,Informational,High,Variable PSPReferralRegistry.TIER_BPS (src/PSPReferralRegistry.sol#85) is not in mixedCase
naming-convention,Informational,High,Parameter CurveHook.sinePriceAt(uint256).R (src/CurveHook.sol#881) is not in mixedCase
naming-convention,Informational,High,Parameter RoundController.setHook(CurveHook)._hook (src/RoundController.sol#234) is not in mixedCase
naming-convention,Informational,High,Parameter RoundController.setFactoryRoundId(uint256)._roundId (src/RoundController.sol#238) is not in mixedCase
naming-convention,Informational,High,Variable RoundController.PREDEPOSIT_DURATION (src/RoundController.sol#110) is not in mixedCase
naming-convention,Informational,High,"Parameter CurveMath.marginalPrice(uint256,CurveMath.CurveConfig).S (src/libraries/CurveMath.sol#48) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._reserveMixETH (src/CurveHook.sol#843) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveMath.multiCurve(uint256,uint256[],uint256[],bool[]).P0 (src/libraries/CurveMath.sol#438) is not in mixedCase"
naming-convention,Informational,High,Function IRoundController.VEST_DURATION() (src/interfaces/IRoundController.sol#25) is not in mixedCase
naming-convention,Informational,High,"Parameter SineMath.supplyAt(SineMath.Curve,uint256).R (src/libraries/SineMath.sol#179) is not in mixedCase"
naming-convention,Informational,High,Parameter PSPToken.setController(address)._controller (src/PSPToken.sol#35) is not in mixedCase
naming-convention,Informational,High,Variable PSPReferralRegistry.MIN_STAKE_PSP (src/PSPReferralRegistry.sol#88) is not in mixedCase
naming-convention,Informational,High,"Parameter SineMath.priceAt(SineMath.Curve,uint256).R (src/libraries/SineMath.sol#157) is not in mixedCase"
naming-convention,Informational,High,"Parameter CurveMath.singleCurve(uint256,uint256,uint256,uint256).S_inf (src/libraries/CurveMath.sol#413) is not in mixedCase"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[14] = 250000000000000000 (src/curves/Curve2Zones.sol#51)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[4] = 584000000000000128 (src/curves/LinearZones.sol#61)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[26] = 500000000000000000 (src/curves/Curve1Zones.sol#77)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[14] = 704000000000000128 (src/curves/LinearZones.sol#71)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[24] = 824000000000000128 (src/curves/LinearZones.sol#81)"
too-many-digits,Informational,Medium,"PepeArtData8Bit.slitherConstructorConstantVariables() (src/PepeArtData8Bit.sol#13-191) uses literals with too many digits:
	- BG_COLORS = 0x98dbc998dbc9f5b7c9c8c1f7ffa233843d522d284b000000ffa233e85def (src/PepeArtData8Bit.sol#84)"
too-many-digits,Informational,Medium,"Curve1Zones.slitherConstructorConstantVariables() (src/curves/Curve1Zones.sol#14-116) uses literals with too many digits:
	- P0_WAD = 100000000000000 (src/curves/Curve1Zones.sol#15)"
too-many-digits,Informational,Medium,"Curve3Zones.config() (src/curves/Curve3Zones.sol#17-175) uses literals with too many digits:
	- b[1] = 510512625000000010584064 (src/curves/Curve3Zones.sol#20)"
too-many-digits,Informational,Medium,"LinearZones.slitherConstructorConstantVariables() (src/curves/LinearZones.sol#16-130) uses literals with too many digits:
	- P0_WAD = 100000000000000 (src/curves/LinearZones.sol#17)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[10] = 656000000000000000 (src/curves/LinearZones.sol#67)"
too-many-digits,Informational,Medium,"Curve3Zones.config() (src/curves/Curve3Zones.sol#17-175) uses literals with too many digits:
	- r[49] = 100000000000000000 (src/curves/Curve3Zones.sol#120)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[14] = 500000000000000000 (src/curves/Curve1Zones.sol#65)"
too-many-digits,Informational,Medium,"Curve2Zones.slitherConstructorConstantVariables() (src/curves/Curve2Zones.sol#14-74) uses literals with too many digits:
	- P0_WAD = 100000000000000 (src/curves/Curve2Zones.sol#15)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[32] = 920000000000000000 (src/curves/LinearZones.sol#89)"
too-many-digits,Informational,Medium,"PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158) uses literals with too many digits:
	- address(key.hooks) != ctl.hookAddress() || IReferralHook(address(key.hooks)).referralRegistry() != address(this) || Currency.unwrap(key.currency1) != psp || Currency.unwrap(key.currency0) != mix || key.fee != 0x800000 || key.tickSpacing != 60 (src/PSPReferralRegistry.sol#140-144)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- r[4] = 680000000000000000 (src/curves/LinearZonesLean.sol#42)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[4] = 250000000000000000 (src/curves/Curve2Zones.sol#41)"
too-many-digits,Informational,Medium,"SineMath._sinWad(uint256) (src/libraries/SineMath.sol#295-328) uses literals with too many digits:
	- term = FixedPointMathLib.mulWad(term,FixedPointMathLib.mulWad(t,50000000000000000)) (src/libraries/SineMath.sol#309)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[28] = 500000000000000000 (src/curves/Curve1Zones.sol#79)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[30] = 896000000000000128 (src/curves/LinearZones.sol#87)"
too-many-digits,Informational,Medium,"ControllerDeployer.predictRegistry(bytes32,address,uint256) (src/ControllerDeployer.sol#168-182) uses literals with too many digits:
	- address(uint160(uint256(keccak256(bytes)(abi.encodePacked(bytes1(0xff),address(this),salt,keccak256(bytes)(abi.encodePacked(type()(PSPReferralRegistry).creationCode,abi.encode(staker,minStakePSP)))))))) (src/ControllerDeployer.sol#173-181)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[8] = 632000000000000128 (src/curves/LinearZones.sol#65)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[12] = 500000000000000000 (src/curves/Curve1Zones.sol#63)"
too-many-digits,Informational,Medium,"ControllerDeployer.deployController(PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#38-78) uses literals with too many digits:
	- initCode = type()(RoundController).creationCode (src/ControllerDeployer.sol#52)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- b[1] = 510512625000000010584064 (src/curves/Curve2Zones.sol#20)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[6] = 608000000000000128 (src/curves/LinearZones.sol#63)"
too-many-digits,Informational,Medium,"PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158) uses literals with too many digits:
	- address(key.hooks) != ctl.hookAddress() || IReferralHook(address(key.hooks)).referralRegistry() != address(this) || Currency.unwrap(key.currency0) != psp || Currency.unwrap(key.currency1) != mix || key.fee != 0x800000 || key.tickSpacing != 60 (src/PSPReferralRegistry.sol#140-144)"
too-many-digits,Informational,Medium,"PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158) uses literals with too many digits:
	- address(key.hooks) != ctl.hookAddress() || IReferralHook(address(key.hooks)).referralRegistry() != address(this) || Currency.unwrap(key.currency1) != psp || Currency.unwrap(key.currency1) != mix || key.fee != 0x800000 || key.tickSpacing != 60 (src/PSPReferralRegistry.sol#140-144)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- r[2] = 560000000000000064 (src/curves/LinearZonesLean.sol#40)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[33] = 100000000000000000 (src/curves/LinearZones.sol#90)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[10] = 500000000000000000 (src/curves/Curve1Zones.sol#61)"
too-many-digits,Informational,Medium,"ControllerDeployer.predictController(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#125-143) uses literals with too many digits:
	- address(uint160(uint256(keccak256(bytes)(abi.encodePacked(bytes1(0xff),address(this),salt,keccak256(bytes)(abi.encodePacked(type()(RoundController).creationCode,abi.encode(token,mixETH,config,ownerFactory,descriptor,stakerDeployer)))))))) (src/ControllerDeployer.sol#134-142)"
too-many-digits,Informational,Medium,"PepeArtData8Bit.slitherConstructorConstantVariables() (src/PepeArtData8Bit.sol#13-191) uses literals with too many digits:
	- IRIS_COLORS = 0x50505072a497ea7d2754786f984227000000007cb4 (src/PepeArtData8Bit.sol#81)"
too-many-digits,Informational,Medium,"HookInitCode.constructor() (src/HookInitCode.sol#50-58) uses literals with too many digits:
	- code = type()(CurveHook).creationCode (src/HookInitCode.sol#54)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- b[1] = 510512625000000010584064 (src/curves/Curve1Zones.sol#20)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[6] = 500000000000000000 (src/curves/Curve1Zones.sol#57)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[28] = 872000000000000128 (src/curves/LinearZones.sol#85)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[8] = 500000000000000000 (src/curves/Curve1Zones.sol#59)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[20] = 776000000000000000 (src/curves/LinearZones.sol#77)"
too-many-digits,Informational,Medium,"CurveHook.slitherConstructorConstantVariables() (src/CurveHook.sol#33-934) uses literals with too many digits:
	- CANONICAL_FEE = 0x800000 (src/CurveHook.sol#103)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[26] = 848000000000000128 (src/curves/LinearZones.sol#83)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[20] = 500000000000000000 (src/curves/Curve1Zones.sol#71)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- r[6] = 800000000000000000 (src/curves/LinearZonesLean.sol#44)"
too-many-digits,Informational,Medium,"ControllerDeployer.deployControllerAt(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#88-119) uses literals with too many digits:
	- initCode = bytes.concat(type()(RoundController).creationCode,abi.encode(token,mixETH,config,ownerFactory,descriptor,stakerDeployer)) (src/ControllerDeployer.sol#103-106)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[2] = 560000000000000064 (src/curves/LinearZones.sol#59)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- b[2] = 400400000000000029360128 (src/curves/LinearZonesLean.sol#28)"
too-many-digits,Informational,Medium,"StakerDeployer.predictStaker(bytes32,IERC20,IRoundController,address) (src/StakerDeployer.sol#54-69) uses literals with too many digits:
	- address(uint160(uint256(keccak256(bytes)(abi.encodePacked(bytes1(0xff),address(this),salt,keccak256(bytes)(abi.encodePacked(type()(PSPStaker).creationCode,abi.encode(psp,controller,descriptor)))))))) (src/StakerDeployer.sol#60-68)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[22] = 500000000000000000 (src/curves/Curve1Zones.sol#73)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[24] = 500000000000000000 (src/curves/Curve1Zones.sol#75)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[29] = 100000000000000000 (src/curves/Curve1Zones.sol#80)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- r[9] = 100000000000000000 (src/curves/LinearZonesLean.sol#47)"
too-many-digits,Informational,Medium,"LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
	- r[8] = 920000000000000128 (src/curves/LinearZonesLean.sol#46)"
too-many-digits,Informational,Medium,"PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158) uses literals with too many digits:
	- address(key.hooks) != ctl.hookAddress() || IReferralHook(address(key.hooks)).referralRegistry() != address(this) || Currency.unwrap(key.currency0) != psp || Currency.unwrap(key.currency0) != mix || key.fee != 0x800000 || key.tickSpacing != 60 (src/PSPReferralRegistry.sol#140-144)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[6] = 250000000000000000 (src/curves/Curve2Zones.sol#43)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[22] = 800000000000000000 (src/curves/LinearZones.sol#79)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[15] = 100000000000000000 (src/curves/Curve2Zones.sol#52)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[12] = 680000000000000000 (src/curves/LinearZones.sol#69)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- b[1] = 510512625000000077692928 (src/curves/LinearZones.sol#22)"
too-many-digits,Informational,Medium,"PSPFactory._birthWire() (src/PSPFactory.sol#483-549) uses literals with too many digits:
	- key = PoolKey({currency0:currency0,currency1:currency1,fee:0x800000,tickSpacing:tickSpacing,hooks:hook}) (src/PSPFactory.sol#520-526)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[10] = 250000000000000000 (src/curves/Curve2Zones.sol#47)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[16] = 728000000000000128 (src/curves/LinearZones.sol#73)"
too-many-digits,Informational,Medium,"LinearZonesLean.slitherConstructorConstantVariables() (src/curves/LinearZonesLean.sol#21-63) uses literals with too many digits:
	- P0_WAD = 100000000000000 (src/curves/LinearZonesLean.sol#22)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[12] = 250000000000000000 (src/curves/Curve2Zones.sol#49)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[16] = 500000000000000000 (src/curves/Curve1Zones.sol#67)"
too-many-digits,Informational,Medium,"TokenDeployer.predictToken(bytes32,string,string,address) (src/ControllerDeployer.sol#211-226) uses literals with too many digits:
	- address(uint160(uint256(keccak256(bytes)(abi.encodePacked(bytes1(0xff),address(this),salt,keccak256(bytes)(abi.encodePacked(type()(PSPToken).creationCode,abi.encode(name,symbol,admin)))))))) (src/ControllerDeployer.sol#217-225)"
too-many-digits,Informational,Medium,"Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
	- r[18] = 500000000000000000 (src/curves/Curve1Zones.sol#69)"
too-many-digits,Informational,Medium,"PSPFactory.roundPool(uint256) (src/PSPFactory.sol#631-642) uses literals with too many digits:
	- (currency0,currency1,0x800000,tickSpacing,address(r.hook)) (src/PSPFactory.sol#641)"
too-many-digits,Informational,Medium,"LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
	- r[18] = 752000000000000000 (src/curves/LinearZones.sol#75)"
too-many-digits,Informational,Medium,"Curve3Zones.slitherConstructorConstantVariables() (src/curves/Curve3Zones.sol#14-176) uses literals with too many digits:
	- P0_WAD = 100000000000000 (src/curves/Curve3Zones.sol#15)"
too-many-digits,Informational,Medium,"Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
	- r[8] = 250000000000000000 (src/curves/Curve2Zones.sol#45)"
constable-states,Optimization,High,PSPFactory.baseSymbol (src/PSPFactory.sol#125) should be constant
constable-states,Optimization,High,PSPFactory.baseName (src/PSPFactory.sol#124) should be constant
